userId,userSessionId,teamLevel,platformType,count_gameclicks,gameclicks_category,count_hits,hits_percent,hits_percent_category,count_buyId,avg_price,total_buy
812,5648,1,android,69,LOW,8,12,MEDIUM,0,0,0
1658,5649,1,iphone,31,LOW,5,16,MEDIUM,0,0,0
1589,5650,1,iphone,26,LOW,2,8,LOW,0,0,0
1863,5651,1,android,35,LOW,4,11,MEDIUM,0,0,0
937,5652,1,android,39,LOW,0,0,ZERO,1,1,1
342,5653,1,android,36,LOW,5,14,MEDIUM,0,0,0
849,5654,1,iphone,40,LOW,5,13,MEDIUM,0,0,0
1277,5655,1,windows,46,LOW,8,17,MEDIUM,0,0,0
2203,5656,1,android,68,LOW,6,9,LOW,0,0,0
585,5657,1,iphone,76,LOW,9,12,MEDIUM,0,0,0
1370,5658,1,iphone,69,LOW,6,9,LOW,0,0,0
1623,5659,1,iphone,129,MEDIUM,9,7,LOW,1,10,10
881,5660,1,iphone,36,LOW,6,17,MEDIUM,0,0,0
83,5661,1,android,102,MEDIUM,14,14,MEDIUM,1,5,5
453,5662,1,android,102,MEDIUM,7,7,LOW,0,0,0
1966,5663,1,iphone,63,LOW,8,13,MEDIUM,0,0,0
1073,5664,1,android,141,MEDIUM,21,15,MEDIUM,0,0,0
121,5665,1,android,39,LOW,4,10,MEDIUM,1,3,3
462,5666,1,android,90,LOW,10,11,MEDIUM,1,3,3
708,5667,1,iphone,32,LOW,2,6,LOW,0,0,0
1145,5668,1,windows,102,MEDIUM,17,17,MEDIUM,0,0,0
445,5669,1,android,79,LOW,8,10,MEDIUM,0,0,0
351,5670,1,windows,51,LOW,5,10,MEDIUM,0,0,0
2355,5671,1,iphone,93,LOW,9,10,MEDIUM,0,0,0
591,5672,1,windows,134,MEDIUM,14,10,MEDIUM,0,0,0
1900,5673,1,windows,61,LOW,3,5,LOW,0,0,0
770,5674,1,iphone,72,LOW,4,6,LOW,0,0,0
170,5675,1,iphone,64,LOW,7,11,MEDIUM,0,0,0
1926,5676,1,android,50,LOW,4,8,LOW,0,0,0
1035,5677,1,android,73,LOW,14,19,MEDIUM,0,0,0
1559,5678,1,android,199,MEDIUM,24,12,MEDIUM,0,0,0
819,5679,1,iphone,51,LOW,8,16,MEDIUM,1,20,20
1588,5680,1,android,32,LOW,2,6,LOW,0,0,0
1034,5681,1,iphone,38,LOW,1,3,LOW,0,0,0
782,5682,1,iphone,48,LOW,5,10,MEDIUM,0,0,0
2368,5683,1,iphone,63,LOW,4,6,LOW,0,0,0
1631,5684,1,windows,25,LOW,4,16,MEDIUM,0,0,0
