userId,userSessionId,teamLevel,platformType,count_gameclicks,gameclicks_category,count_hits,hits_percent,hits_percent_category,count_buyId,avg_price,total_buy,buy_category
812,5648,1,android,69,Low,8,12,Medium,0,0.00,0.00,NonSpenders
1658,5649,1,iphone,31,Low,5,16,Medium,0,0.00,0.00,NonSpenders
1589,5650,1,iphone,26,Low,2,8,Low,0,0.00,0.00,NonSpenders
1863,5651,1,android,35,Low,4,11,Medium,0,0.00,0.00,NonSpenders
937,5652,1,android,39,Low,0,0,Zero,1,1.00,1.00,ThriftySpenders
342,5653,1,android,36,Low,5,14,Medium,0,0.00,0.00,NonSpenders
849,5654,1,iphone,40,Low,5,13,Medium,0,0.00,0.00,NonSpenders
1277,5655,1,windows,46,Low,8,17,Medium,0,0.00,0.00,NonSpenders
2203,5656,1,android,68,Low,6,9,Low,0,0.00,0.00,NonSpenders
585,5657,1,iphone,76,Low,9,12,Medium,0,0.00,0.00,NonSpenders
1370,5658,1,iphone,69,Low,6,9,Low,0,0.00,0.00,NonSpenders
1623,5659,1,iphone,129,Medium,9,7,Low,1,10.00,10.00,ThriftySpenders
881,5660,1,iphone,36,Low,6,17,Medium,0,0.00,0.00,NonSpenders
83,5661,1,android,102,Medium,14,14,Medium,1,5.00,5.00,ThriftySpenders
453,5662,1,android,102,Medium,7,7,Low,0,0.00,0.00,NonSpenders
1966,5663,1,iphone,63,Low,8,13,Medium,0,0.00,0.00,NonSpenders
1073,5664,1,android,141,Medium,21,15,Medium,0,0.00,0.00,NonSpenders
121,5665,1,android,39,Low,4,10,Medium,1,3.00,3.00,ThriftySpenders
462,5666,1,android,90,Low,10,11,Medium,1,3.00,3.00,ThriftySpenders
708,5667,1,iphone,32,Low,2,6,Low,0,0.00,0.00,NonSpenders
1145,5668,1,windows,102,Medium,17,17,Medium,0,0.00,0.00,NonSpenders
445,5669,1,android,79,Low,8,10,Medium,0,0.00,0.00,NonSpenders
351,5670,1,windows,51,Low,5,10,Medium,0,0.00,0.00,NonSpenders
2355,5671,1,iphone,93,Low,9,10,Medium,0,0.00,0.00,NonSpenders
591,5672,1,windows,134,Medium,14,10,Medium,0,0.00,0.00,NonSpenders
1900,5673,1,windows,61,Low,3,5,Low,0,0.00,0.00,NonSpenders
770,5674,1,iphone,72,Low,4,6,Low,0,0.00,0.00,NonSpenders
170,5675,1,iphone,64,Low,7,11,Medium,0,0.00,0.00,NonSpenders
1926,5676,1,android,50,Low,4,8,Low,0,0.00,0.00,NonSpenders
1035,5677,1,android,73,Low,14,19,Medium,0,0.00,0.00,NonSpenders
1559,5678,1,android,199,Medium,24,12,Medium,0,0.00,0.00,NonSpenders
819,5679,1,iphone,51,Low,8,16,Medium,1,20.00,20.00,AverageSpenders
1588,5680,1,android,32,Low,2,6,Low,0,0.00,0.00,NonSpenders
1034,5681,1,iphone,38,Low,1,3,Low,0,0.00,0.00,NonSpenders
782,5682,1,iphone,48,Low,5,10,Medium,0,0.00,0.00,NonSpenders
2368,5683,1,iphone,63,Low,4,6,Low,0,0.00,0.00,NonSpenders
1631,5684,1,windows,25,Low,4,16,Medium,0,0.00,0.00,NonSpenders
1756,5685,1,android,58,Low,6,10,Medium,0,0.00,0.00,NonSpenders
1629,5686,1,iphone,45,Low,6,13,Medium,0,0.00,0.00,NonSpenders
1315,5687,1,windows,188,Medium,21,11,Medium,0,0.00,0.00,NonSpenders
852,5688,1,android,31,Low,5,16,Medium,0,0.00,0.00,NonSpenders
982,5689,1,iphone,96,Low,14,15,Medium,0,0.00,0.00,NonSpenders
2120,5690,1,iphone,59,Low,3,5,Low,0,0.00,0.00,NonSpenders
344,5691,1,iphone,84,Low,16,19,Medium,0,0.00,0.00,NonSpenders
489,5692,1,iphone,82,Low,8,10,Medium,0,0.00,0.00,NonSpenders
411,5693,1,iphone,53,Low,5,9,Low,0,0.00,0.00,NonSpenders
2229,5694,1,iphone,63,Low,5,8,Low,0,0.00,0.00,NonSpenders
1924,5695,1,iphone,49,Low,5,10,Medium,0,0.00,0.00,NonSpenders
970,5696,1,iphone,34,Low,2,6,Low,0,0.00,0.00,NonSpenders
2199,5697,1,android,51,Low,6,12,Medium,2,2.50,5.00,ThriftySpenders
1143,5698,1,android,47,Low,5,11,Medium,2,2.00,4.00,ThriftySpenders
515,5699,1,iphone,73,Low,9,12,Medium,0,0.00,0.00,NonSpenders
1353,5700,1,android,132,Medium,11,8,Low,0,0.00,0.00,NonSpenders
2333,5701,1,android,283,Medium,28,10,Medium,0,0.00,0.00,NonSpenders
355,5702,1,iphone,114,Medium,14,12,Medium,0,0.00,0.00,NonSpenders
1560,5703,1,android,101,Medium,15,15,Medium,0,0.00,0.00,NonSpenders
1928,5704,1,android,85,Low,9,11,Medium,0,0.00,0.00,NonSpenders
1874,5705,1,mac,45,Low,3,7,Low,0,0.00,0.00,NonSpenders
1652,5706,1,android,46,Low,7,15,Medium,1,1.00,1.00,ThriftySpenders
867,5707,1,iphone,77,Low,8,10,Medium,0,0.00,0.00,NonSpenders
1175,5708,1,iphone,116,Medium,11,9,Low,0,0.00,0.00,NonSpenders
2222,5709,1,iphone,41,Low,6,15,Medium,1,20.00,20.00,AverageSpenders
1082,5710,1,iphone,39,Low,4,10,Medium,0,0.00,0.00,NonSpenders
128,5711,1,iphone,38,Low,3,8,Low,0,0.00,0.00,NonSpenders
744,5712,1,windows,94,Low,4,4,Low,0,0.00,0.00,NonSpenders
487,5713,1,iphone,78,Low,8,10,Medium,0,0.00,0.00,NonSpenders
1591,5714,1,iphone,62,Low,10,16,Medium,0,0.00,0.00,NonSpenders
1972,5715,1,mac,284,Medium,29,10,Medium,0,0.00,0.00,NonSpenders
374,5716,1,android,47,Low,7,15,Medium,1,3.00,3.00,ThriftySpenders
321,5717,1,windows,63,Low,5,8,Low,0,0.00,0.00,NonSpenders
673,5718,1,iphone,126,Medium,18,14,Medium,0,0.00,0.00,NonSpenders
1191,5719,1,iphone,55,Low,8,15,Medium,0,0.00,0.00,NonSpenders
1535,5720,1,iphone,76,Low,7,9,Low,1,20.00,20.00,AverageSpenders
21,5721,1,android,52,Low,2,4,Low,1,3.00,3.00,ThriftySpenders
2053,5722,1,android,68,Low,4,6,Low,0,0.00,0.00,NonSpenders
309,5723,1,windows,73,Low,9,12,Medium,0,0.00,0.00,NonSpenders
1260,5724,1,iphone,43,Low,3,7,Low,0,0.00,0.00,NonSpenders
343,5725,1,windows,68,Low,2,3,Low,0,0.00,0.00,NonSpenders
217,5726,1,mac,39,Low,2,5,Low,0,0.00,0.00,NonSpenders
1205,5727,1,android,25,Low,3,12,Medium,0,0.00,0.00,NonSpenders
751,5728,1,android,59,Low,7,12,Medium,0,0.00,0.00,NonSpenders
1173,5729,1,iphone,41,Low,3,7,Low,0,0.00,0.00,NonSpenders
1214,5730,1,linux,72,Low,11,15,Medium,0,0.00,0.00,NonSpenders
2004,5731,1,iphone,39,Low,4,10,Medium,0,0.00,0.00,NonSpenders
1485,5732,1,iphone,81,Low,14,17,Medium,0,0.00,0.00,NonSpenders
292,5733,1,windows,327,Medium,27,8,Low,0,0.00,0.00,NonSpenders
127,5734,1,iphone,52,Low,4,8,Low,0,0.00,0.00,NonSpenders
1404,5735,1,mac,85,Low,6,7,Low,0,0.00,0.00,NonSpenders
2161,5736,1,android,71,Low,9,13,Medium,0,0.00,0.00,NonSpenders
1387,5737,1,android,75,Low,13,17,Medium,0,0.00,0.00,NonSpenders
422,5738,1,android,66,Low,2,3,Low,0,0.00,0.00,NonSpenders
1362,5739,1,iphone,114,Medium,9,8,Low,0,0.00,0.00,NonSpenders
28,5740,1,iphone,27,Low,3,11,Medium,0,0.00,0.00,NonSpenders
1042,5741,1,android,44,Low,3,7,Low,0,0.00,0.00,NonSpenders
2243,5742,1,android,61,Low,9,15,Medium,0,0.00,0.00,NonSpenders
1059,5743,1,android,45,Low,2,4,Low,0,0.00,0.00,NonSpenders
1368,5744,1,iphone,64,Low,9,14,Medium,0,0.00,0.00,NonSpenders
25,5745,1,mac,63,Low,10,16,Medium,0,0.00,0.00,NonSpenders
1072,5746,1,iphone,123,Medium,19,15,Medium,0,0.00,0.00,NonSpenders
239,5747,1,iphone,68,Low,11,16,Medium,0,0.00,0.00,NonSpenders
600,5748,1,iphone,93,Low,11,12,Medium,0,0.00,0.00,NonSpenders
2379,5749,1,android,62,Low,9,15,Medium,1,3.00,3.00,ThriftySpenders
2283,5750,1,android,63,Low,5,8,Low,0,0.00,0.00,NonSpenders
30,5751,1,iphone,40,Low,3,8,Low,0,0.00,0.00,NonSpenders
1351,5752,1,iphone,66,Low,5,8,Low,0,0.00,0.00,NonSpenders
1669,5753,1,iphone,106,Medium,10,9,Low,0,0.00,0.00,NonSpenders
155,5754,1,android,36,Low,4,11,Medium,0,0.00,0.00,NonSpenders
1349,5755,1,iphone,37,Low,6,16,Medium,0,0.00,0.00,NonSpenders
212,5756,1,android,107,Medium,12,11,Medium,0,0.00,0.00,NonSpenders
899,5757,1,windows,347,Medium,34,10,Medium,0,0.00,0.00,NonSpenders
1793,5758,1,android,75,Low,7,9,Low,0,0.00,0.00,NonSpenders
76,5759,1,windows,38,Low,5,13,Medium,0,0.00,0.00,NonSpenders
1742,5760,1,android,50,Low,6,12,Medium,0,0.00,0.00,NonSpenders
2336,5761,1,windows,280,Medium,29,10,Medium,0,0.00,0.00,NonSpenders
706,5762,1,iphone,63,Low,5,8,Low,0,0.00,0.00,NonSpenders
1731,5763,1,iphone,70,Low,3,4,Low,0,0.00,0.00,NonSpenders
2359,5764,1,iphone,77,Low,11,14,Medium,0,0.00,0.00,NonSpenders
1320,5765,1,iphone,191,Medium,23,12,Medium,0,0.00,0.00,NonSpenders
845,5766,1,android,61,Low,7,11,Medium,0,0.00,0.00,NonSpenders
1856,5767,1,linux,70,Low,12,17,Medium,0,0.00,0.00,NonSpenders
1640,5768,1,iphone,69,Low,7,10,Medium,0,0.00,0.00,NonSpenders
142,5769,1,iphone,73,Low,9,12,Medium,0,0.00,0.00,NonSpenders
1807,5770,1,iphone,177,Medium,25,14,Medium,2,7.50,15.00,ThriftySpenders
820,5771,1,android,40,Low,4,10,Medium,0,0.00,0.00,NonSpenders
807,5772,1,linux,51,Low,5,10,Medium,0,0.00,0.00,NonSpenders
279,5773,1,windows,59,Low,4,7,Low,0,0.00,0.00,NonSpenders
1513,5774,1,mac,125,Medium,11,9,Low,0,0.00,0.00,NonSpenders
868,5775,1,iphone,54,Low,5,9,Low,1,10.00,10.00,ThriftySpenders
1326,5776,1,iphone,43,Low,5,12,Medium,0,0.00,0.00,NonSpenders
1567,5777,1,android,27,Low,4,15,Medium,2,4.00,8.00,ThriftySpenders
1206,5778,1,android,54,Low,4,7,Low,0,0.00,0.00,NonSpenders
221,5779,1,iphone,37,Low,2,5,Low,1,20.00,20.00,AverageSpenders
2360,5780,1,android,36,Low,5,14,Medium,0,0.00,0.00,NonSpenders
2149,5781,1,android,36,Low,2,6,Low,0,0.00,0.00,NonSpenders
1318,5782,1,iphone,84,Low,9,11,Medium,0,0.00,0.00,NonSpenders
2306,5783,1,android,67,Low,5,7,Low,1,1.00,1.00,ThriftySpenders
1465,5784,1,android,184,Medium,23,13,Medium,0,0.00,0.00,NonSpenders
